when,runner,mode,language,name,num_cores,num_events,elapsed,peak_memory_bytes,cpu_msecs,late_drops
2024-09-07 00:02:37,feldera,stream,sql,q0,16,100000100,24.8,2125262848,428170,0
2024-09-07 00:02:37,feldera,stream,sql,q1,16,100000100,25.7,1878941696,440780,0
2024-09-07 00:02:37,feldera,stream,sql,q2,16,100000100,22.6,1480630272,409630,0
2024-09-07 00:02:37,feldera,stream,sql,q3,16,100000100,19.5,616873984,443440,0
2024-09-07 00:02:37,feldera,stream,sql,q4,16,100000100,77.2,15304744960,1750180,0
2024-09-07 00:02:37,feldera,stream,sql,q5,16,100000100,87.0,20020117504,2348390,0
2024-09-07 00:02:37,feldera,stream,sql,q7,16,100000100,49.3,3427921920,1060270,0
2024-09-07 00:02:37,feldera,stream,sql,q8,16,100000100,19.5,502407168,399150,0
2024-09-07 00:02:37,feldera,stream,sql,q9,16,100000100,183.1,56538542080,2559220,0
2024-09-07 00:02:37,feldera,stream,sql,q10,16,100000100,28.8,1887080448,485510,0
2024-09-07 00:02:37,feldera,stream,sql,q12,16,100000100,29.8,11920322560,744240,0
2024-09-07 00:02:37,feldera,stream,sql,q13,16,100000100,328.3,28324655104,3754210,0
2024-09-07 00:02:37,feldera,stream,sql,q14,16,100000100,26.7,1869602816,461020,0
2024-09-07 00:02:37,feldera,stream,sql,q15,16,100000100,30.9,1879891968,551690,0
2024-09-07 00:02:37,feldera,stream,sql,q16,16,100000100,92.4,7770144768,1363860,0
2024-09-07 00:02:37,feldera,stream,sql,q17,16,100000100,31.0,3402637312,710790,0
2024-09-07 00:02:37,feldera,stream,sql,q18,16,100000100,57.6,44862795776,1270640,0
2024-09-07 00:02:37,feldera,stream,sql,q19,16,100000100,55.5,47069069312,1219420,0
2024-09-07 00:02:37,feldera,stream,sql,q20,16,100000100,58.6,38828752896,1299770,0
2024-09-07 00:02:37,feldera,stream,sql,q22,16,100000100,35.9,2186391552,594640,0
